Lerzy,2260,219
Samoussy,2840,338
Grougis,2110,385
Macquigny,2120,374
La Flamengrie,2260,1102
Servais,2700,282
Bertricourt,2190,156
Osly-Courtil,2290,297
Verneuil-sur-Serre,2000,271
Mayot,2800,171
Wassigny,2630,973
Barenton-Cel,2000,136
Englancourt,2260,118
Athies-sous-Laon,2840,2515
Froidestrées,2260,208
La Malmaison,2190,411
Manicamp,2300,309
Barenton-sur-Serre,2270,115
Audigny,2120,265
Ohis,2500,307
Martigny,2500,452
Barisis,2700,723
Épaux-Bézu,2400,588
Abbécourt,2300,528
Hauteville,2120,167
Benay,2440,213
La Neuville-en-Beine,2300,178
Tupigny,2120,364
Vervins,2140,2666
Dorengt,2450,157
Saint-Gobert,2140,309
Parcy-et-Tigny,2210,249
Saint-Pierre-lès-Franqueville,2140,64
Mont-Notre-Dame,2220,677
Mont-Saint-Martin,2220,85
Chierry,2400,1055
Cutry,2600,115
Chevennes,2250,142
Montigny-le-Franc,2250,158
Bourg-et-Comin,2160,754
Saint-Agnan,2330,101
Coulonges-Cohan,2130,428
Prémontré,2320,769
Courtrizy-et-Fussigny,2820,67
Jumencourt,2380,154
Clairfontaine,2260,569
Sequehart,2420,227
Agnicourt-et-Séchelles,2340,207
Roucy,2160,404
Prémont,2110,757
Clastres,2440,611
Le Charmel,2850,322
Allemant,2320,180
Mont-Saint-Père,2400,686
Parfondeval,2360,155
Chivres-Val,2880,585
Aubencheul-aux-Bois,2420,310
Montfaucon,2540,181
Autels,2360,74
Fontenoy,2290,494
Crécy-au-Mont,2380,289
Morcourt,2100,596
Neuville-sur-Margival,2880,117
Cys-la-Commune,2220,152
Marizy-Saint-Mard,2470,59
Villeret,2420,314
Amifontaine,2190,418
Fontaine-Uterte,2110,127
Dolignon,2360,59
Étaves-et-Bocquiaux,2110,556
Rocquigny,2260,393
Mortiers,2270,207
Rozoy-sur-Serre,2360,1025
Malzy,2120,194
Bellenglise,2420,386
Cerny-en-Laonnois,2860,71
Montloué,2340,157
Sainte-Geneviève,2340,77
Neuve-Maison,2500,616
Bézu-Saint-Germain,2400,959
Étréaupont,2580,895
Berthenicourt,2240,214
Thiernu,2250,110
Laigny,2140,220
Aisonville-et-Bernoville,2110,288
Crouy,2880,2716
Hirson,2500,9383
Bagneux,2290,73
Autremencourt,2250,185
La Celle-sous-Montmirail,2540,114
Condé-sur-Aisne,2370,417
Blérancourt,2300,1262
Monthurel,2330,150
Petit-Verly,2630,188
Soize,2340,98
Saconin-et-Breuil,2200,221
Largny-sur-Automne,2600,234
Sommeron,2260,136
Veslud,2840,257
Liesse-Notre-Dame,2350,1275
Chaudun,2200,261
Vuillery,2880,32
Omissy,2100,807
Pavant,2310,799
Missy-sur-Aisne,2880,684
Cugny,2480,576
Parfondru,2840,346
Coingt,2360,77
Fonsomme,2110,535
Dury,2480,196
Royaucourt-et-Chailvet,2000,198
Landricourt,2380,127
Sissonne,2150,2072
Berlise,2340,126
Ribemont,2240,1984
Sains-Richaumont,2120,1005
Filain,2000,137
Chevregny,2000,192
Montchâlons,2860,64
Brumetz,2810,222
Taillefontaine,2600,271
Guny,2300,446
Fresnoy-le-Grand,2230,3096
Nouvron-Vingré,2290,226
Magny-la-Fosse,2420,128
Cuisy-en-Almont,2200,317
Montbavin,2000,41
Vorges,2860,378
Montescourt-Lizerolles,2440,1684
Pont-Arcy,2160,129
Grugies,2680,1121
Bieuxy,2290,30
Marcy,2720,157
Braine,2220,2162
Orgeval,2860,72
Marest-Dampcourt,2300,336
Cilly,2250,222
Harly,2100,1707
Rouvroy,2100,439
Romeny-sur-Marne,2310,487
Douchy,2590,150
Vauxtin,2220,51
Rogécourt,2800,86
Montigny-Lengrain,2290,668
Houry,2140,63
Pierrepont,2350,394
Dohis,2360,92
Brasles,2400,1318
Aubigny-en-Laonnois,2820,116
Paissy,2160,70
Nouvion-le-Comte,2800,273
Monceau-le-Neuf-et-Faucouzy,2270,345
Raillimont,2360,90
Dammard,2470,416
Passy-sur-Marne,2850,152
Lempire,2420,108
Cuiry-lès-Chaudardes,2160,84
Housset,2250,173
Billy-sur-Aisne,2200,1081
Belleu,2200,3881
Pontavert,2160,596
Dizy-le-Gros,2340,790
Crouttes-sur-Marne,2310,645
Courmelles,2200,1700
Bichancourt,2300,1041
Beauvois-en-Vermandois,2590,278
Priez,2470,50
Chassemy,2370,803
Étrépilly,2400,81
Artemps,2480,359
Frières-Faillouël,2700,985
Wiège-Faty,2120,231
Saint-Nicolas-aux-Bois,2410,111
Gricourt,2100,869
Blesmes,2400,371
Ville-Savoye,2220,58
Mercin-et-Vaux,2200,940
Chevresis-Monceau,2270,356
Beaurevoir,2110,1512
Saint-Bandry,2290,260
Vregny,2880,91
Vadencourt,2120,638
Vierzy,2210,440
Caillouël-Crépigny,2300,420
Nizy-le-Comte,2150,257
Vendières,2540,153
Buzancy,2200,186
Jeantes,2140,217
Connigis,2330,325
Torcy-en-Valois,2810,83
Coucy-la-Ville,2380,213
Goudelancourt-lès-Pierrepont,2350,142
Passy-en-Valois,2470,164
Montgru-Saint-Hilaire,2210,34
Mont-d'Origny,2390,860
Vassogne,2160,66
Maissemy,2490,245
Rogny,2140,105
Vénérolles,2510,216
Clamecy,2880,223
Viel-Arcy,2160,181
Guyencourt,2160,225
Mennevret,2630,664
Caulaincourt,2490,136
Oulchy-le-Château,2210,833
Guise,2120,5173
Champs,2670,293
Sainte-Preuve,2350,84
Proix,2120,147
Ambleny,2290,1134
Ribeauville,2110,82
Tugny-et-Pont,2640,281
Fresnes,2380,152
Bourguignon-sous-Montbavin,2000,133
Neuvillette,2390,196
Saint-Thomas,2820,97
Marfontaine,2140,84
Besmont,2500,153
Lehaucourt,2420,912
Brissy-Hamégicourt,2240,639
Plomion,2140,477
Savy,2590,614
Puisieux-et-Clanlieu,2120,296
Ciry-Salsogne,2220,842
Crupilly,2120,66
Dommiers,2600,287
Étreillers,2590,1199
Chouy,2210,395
Landifay-et-Bertaignemont,2120,292
Silly-la-Poterie,2460,134
Nauroy,2420,691
Limé,2220,188
Aubigny-aux-Kaisnes,2590,242
Monceau-le-Waast,2840,243
Cuiry-lès-Iviers,2360,37
Regny,2240,209
Villers-Saint-Christophe,2590,472
Chaillevois,2000,188
Vézilly,2130,181
Lappion,2150,295
Fresnes-en-Tardenois,2130,253
Grand-Rozoy,2210,293
Condé-sur-Suippe,2190,229
Celles-lès-Condé,2330,74
Cessières,2320,470
Courboin,2330,296
Verdilly,2400,436
Sorbais,2580,272
Thenailles,2140,255
Menneville,2190,408
Bonneil,2400,402
Couvron-et-Aumencourt,2270,1325
Chavignon,2000,762
Gandelu,2810,679
Le Thuel,2340,170
Septvaux,2410,191
Neufchâtel-sur-Aisne,2190,416
Boncourt,2350,250
Monampteuil,2000,137
Villiers-Saint-Denis,2310,1051
Glennes,2160,226
Jussy,2480,1243
Croix-Fonsomme,2110,227
Bertaucourt-Epourdon,2800,610
Bucilly,2500,195
Saint-Thibaut,2220,63
Landouzy-la-Ville,2140,526
Goudelancourt-lès-Berrieux,2820,63
Colligis-Crandelain,2860,181
Nesles-la-Montagne,2400,1210
La Capelle,2260,1853
Aizelles,2820,112
Vermand,2490,1032
Monthiers,2400,152
Saint-Pierremont,2250,62
Celles-sur-Aisne,2370,256
Évergnicourt,2190,566
Fossoy,2650,577
Muscourt,2160,44
Chaudardes,2160,88
Remigny,2440,390
Mons-en-Laonnois,2000,1149
Charly-sur-Marne,2310,2739
Château-Thierry,2400,14480
Eppes,2840,411
Vauxrezis,2200,334
Châtillon-lès-Sons,2270,81
Vivières,2600,400
Coyolles,2600,388
Rozières-sur-Crise,2200,231
Thenelles,2390,568
Nogentel,2400,1019
